,player name,box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
86,John Collins,0.9,0.4,1.3,-0.2,1.5,1.3,0.7,0.7,1.4,3.5
87,Jae Crowder,-0.7,1.9,1.2,0.4,0.5,0.9,-0.5,1.6,1.1,3.5
88,Anthony Davis,0.6,2.6,3.2,-4.2,2.8,-1.4,-0.4,2.8,2.5,3.5
89,Caleb Martin,-0.2,2.7,2.5,2.2,0.3,2.5,0.3,2.3,2.5,3.5
90,JaVale McGee,0.9,3.6,4.5,-0.6,0.7,0.1,0.6,3.1,3.7,3.5
91,Jordan Poole,1.7,-1.2,0.4,1.1,-0.2,1.0,1.7,-1.1,0.5,3.5
92,Lonzo Ball,0.6,2.4,3.0,-1.6,2.5,1.0,0.2,2.6,2.7,3.4
93,Lauri Markkanen,0.8,0.0,0.9,4.6,-2.1,2.5,1.7,-0.5,1.2,3.4
94,Malik Monk,1.1,-1.1,0.1,4.1,-1.1,3.0,1.9,-1.1,0.7,3.4
95,Nikola Vucevic,-1.7,2.4,0.6,-0.5,-1.0,-1.5,-1.6,1.8,0.2,3.4
96,Hassan Whiteside,-0.5,2.6,2.1,6.3,0.8,7.1,0.8,2.4,3.2,3.3
97,Aaron Gordon,-0.7,-0.1,-0.8,5.7,-1.5,4.1,0.6,-0.4,0.1,3.2
98,Javonte Green,0.0,1.8,1.8,2.4,-1.1,1.3,0.5,1.3,1.8,3.2
99,Josh Hart,1.1,0.2,1.4,-1.1,-1.3,-2.4,0.7,0.0,0.7,3.2
100,Kevon Looney,-1.4,2.1,0.6,4.0,-1.0,3.0,-0.4,1.5,1.1,3.2
101,Cody Martin,-0.2,1.4,1.2,0.8,-1.5,-0.7,0.0,0.9,0.9,3.2
102,Harrison Barnes,1.5,-0.7,0.8,1.0,-5.7,-4.7,1.5,-1.7,-0.2,3.1
103,Seth Curry,1.1,-0.8,0.2,1.3,-0.8,0.5,1.2,-0.9,0.3,3.1
104,Draymond Green,-1.2,3.9,2.8,-2.2,3.1,0.9,-1.5,3.9,2.5,3.1
105,Tyrese Maxey,1.1,-1.7,-0.6,1.3,0.1,1.4,1.2,-1.4,-0.2,3.1
106,Chris Boucher,-0.6,0.5,-0.1,1.1,4.9,6.0,-0.3,1.4,1.1,3.0
107,Brandon Clarke,1.7,0.3,1.9,0.7,3.1,3.7,1.5,0.8,2.3,3.0
108,Luke Kennard,1.3,-1.6,-0.3,1.1,3.0,4.1,1.3,-0.8,0.6,3.0
109,Monte Morris,0.9,-1.8,-0.9,4.6,-0.7,3.9,1.7,-1.7,0.1,3.0
110,Pat Connaughton,1.0,1.1,2.1,-2.1,-2.1,-4.2,0.4,0.5,0.9,2.9
111,Andre Drummond,-1.1,2.5,1.4,2.2,-0.6,1.6,-0.5,2.0,1.5,2.9
112,Isaiah Hartenstein,0.3,1.4,1.7,2.6,2.2,4.8,0.9,1.7,2.6,2.9
113,Damian Lillard,4.3,-1.7,2.6,2.3,-1.1,1.2,4.2,-1.6,2.6,2.9
114,Malcolm Brogdon,2.8,-1.0,1.8,0.5,0.5,1.0,2.5,-0.7,1.8,2.8
115,Kenrich Williams,-1.1,2.3,1.2,-1.6,7.9,6.3,-1.2,3.6,2.5,2.8
116,LaMarcus Aldridge,-0.2,2.4,2.2,1.8,0.3,2.2,0.2,2.2,2.3,2.7
117,Grayson Allen,0.6,-0.7,0.0,0.2,1.7,1.8,0.5,-0.2,0.3,2.7
118,Brandon Ingram,1.3,-2.0,-0.7,1.6,2.4,4.1,1.5,-1.2,0.3,2.7
119,Cameron Payne,1.3,0.4,1.7,-1.9,4.0,2.0,0.6,1.1,1.8,2.7
120,Tyus Jones,2.1,-1.4,0.7,-1.2,2.8,1.7,1.5,-0.6,0.9,2.6
121,Austin Reaves,-0.5,1.7,1.2,0.2,0.6,0.8,-0.4,1.6,1.2,2.6
122,Max Strus,1.7,-1.2,0.6,2.0,-0.5,1.5,1.9,-1.1,0.8,2.6
123,Jae'Sean Tate,-0.8,0.8,0.0,-2.3,1.7,-0.6,-1.1,1.1,0.0,2.6
124,Myles Turner,-1.4,2.1,0.8,0.3,2.6,2.9,-1.1,2.4,1.3,2.6
125,Deandre Ayton,-1.0,1.6,0.6,1.8,-1.8,-0.1,-0.5,0.9,0.4,2.5
126,John Konchar,0.7,0.7,1.4,-1.4,2.9,1.5,0.3,1.2,1.4,2.5
127,Duncan Robinson,0.7,-0.6,0.1,-0.1,-1.1,-1.2,0.6,-0.8,-0.2,2.5
128,Gabe Vincent,-0.7,1.4,0.8,-0.8,0.7,-0.1,-0.8,1.3,0.6,2.5
129,Bruce Brown,0.2,0.4,0.6,0.4,-1.9,-1.5,0.2,0.0,0.2,2.4
130,Reggie Bullock,-1.0,-0.1,-1.1,1.6,3.5,5.1,-0.5,0.6,0.1,2.4
131,Chris Duarte,-0.4,0.4,0.0,-1.4,2.5,1.1,-0.6,0.9,0.3,2.4
132,George Hill,-1.0,0.6,-0.4,0.0,8.3,8.3,-0.9,2.2,1.4,2.4
133,Reggie Jackson,-1.0,0.1,-0.8,1.1,-1.0,0.2,-0.5,-0.1,-0.6,2.4
134,Kristaps Porzingis,1.1,0.2,1.3,-1.4,-0.5,-1.9,0.7,0.0,0.7,2.4
135,Landry Shamet,0.6,0.1,0.8,-3.1,3.7,0.6,-0.1,0.8,0.7,2.3
136,Delon Wright,-0.7,1.8,1.0,-1.4,1.0,-0.5,-1.0,1.7,0.8,2.3
137,Precious Achiuwa,-2.4,2.1,-0.3,-2.3,4.1,1.8,-2.6,2.6,0.1,2.2
138,De'Aaron Fox,1.6,-2.3,-0.7,2.7,-3.5,-0.8,1.9,-2.7,-0.7,2.2
139,Nassir Little,-0.3,0.9,0.7,1.2,1.9,3.1,0.0,1.3,1.3,2.2
140,Hamidou Diallo,-0.5,1.2,0.7,-2.5,1.2,-1.2,-0.9,1.4,0.5,2.1
141,Danny Green,-0.9,1.1,0.2,1.2,1.0,2.2,-0.5,1.1,0.6,2.1
142,Tim Hardaway Jr.,0.6,0.3,0.9,-2.1,1.0,-1.0,0.1,0.4,0.5,2.1
143,Kevin Huerter,-0.5,-1.5,-2.0,3.7,1.4,5.1,0.3,-0.9,-0.7,2.1
144,Kevin Porter Jr.,-0.8,-0.3,-1.1,0.4,1.6,2.1,-0.5,0.2,-0.4,2.1
145,Anfernee Simons,1.8,-3.1,-1.3,2.5,0.6,3.2,2.1,-2.4,-0.3,2.1
146,Devin Vassell,-0.4,-0.1,-0.5,0.1,0.1,0.2,-0.3,-0.1,-0.4,2.1
147,Ivica Zubac,-1.1,2.0,0.9,-0.5,-5.4,-5.9,-1.0,0.6,-0.4,2.1
148,Luguentz Dort,-0.9,1.2,0.2,-3.5,0.2,-3.3,-1.4,1.0,-0.4,2.0
149,Evan Fournier,0.2,-1.2,-1.0,3.2,-3.9,-0.7,0.9,-1.8,-1.0,2.0
150,Devonte' Graham,1.0,-2.1,-1.1,1.8,-1.6,0.2,1.2,-2.1,-0.8,2.0
151,RJ Barrett,-0.1,-0.5,-0.5,-1.7,-1.4,-3.1,-0.4,-0.7,-1.1,1.9
152,Eric Bledsoe,-1.9,1.9,0.0,-2.3,1.8,-0.4,-2.0,2.0,0.0,1.9
153,Tobias Harris,0.4,-1.5,-1.1,1.5,-1.9,-0.4,0.6,-1.7,-1.1,1.9
154,Bones Hyland,2.0,-1.3,0.8,-0.6,-0.3,-0.9,1.5,-1.1,0.4,1.9
155,Maxi Kleber,-3.0,2.5,-0.5,-1.6,3.5,1.9,-2.9,2.8,-0.1,1.9
156,Isaac Okoro,-1.5,0.5,-1.0,1.3,-0.2,1.1,-1.0,0.4,-0.7,1.9
157,Cory Joseph,-0.6,-0.3,-0.9,0.7,-0.1,0.6,-0.3,-0.3,-0.6,1.7
158,OG Anunoby,0.0,-1.1,-1.0,1.2,-0.5,0.6,0.3,-1.0,-0.8,1.6
159,Kentavious Caldwell-Pope,-1.0,0.4,-0.6,-2.2,-1.8,-4.0,-1.3,0.0,-1.3,1.6
160,Cade Cunningham,-1.9,-0.2,-2.1,3.1,-0.9,2.2,-0.8,-0.3,-1.2,1.6
161,Jaden McDaniels,-2.2,1.9,-0.3,-3.4,0.6,-2.8,-2.6,1.7,-0.9,1.6
162,Patty Mills,0.2,-1.9,-1.6,1.6,-1.1,0.5,0.5,-1.8,-1.3,1.6
163,Davion Mitchell,-0.8,-0.2,-0.9,-4.6,3.3,-1.4,-1.6,0.6,-1.0,1.6
164,Evan Mobley,-2.6,1.4,-1.1,-3.2,1.4,-1.8,-2.8,1.5,-1.4,1.6
165,Kelly Oubre Jr.,0.5,-1.1,-0.6,-1.7,-1.0,-2.7,0.1,-1.1,-1.0,1.6
166,Kyle Anderson,-1.1,0.8,-0.3,-1.8,0.9,-0.9,-1.4,0.8,-0.5,1.5
167,Will Barton,-0.2,-0.7,-0.9,-2.1,-0.6,-2.7,-0.6,-0.7,-1.4,1.5
168,Nicolas Batum,-1.1,1.7,0.6,-4.5,-0.6,-5.1,-1.9,1.3,-0.6,1.5
169,Dwight Powell,0.1,-0.6,-0.5,0.4,-2.4,-2.0,0.1,-1.0,-0.9,1.5
170,Caris LeVert,0.7,-1.6,-0.8,1.9,-2.8,-0.9,1.0,-1.9,-0.9,1.4
171,Georges Niang,0.3,-1.4,-1.1,0.0,-0.2,-0.2,0.2,-1.3,-1.0,1.4
172,Mason Plumlee,-2.1,0.5,-1.6,-0.9,2.0,1.1,-2.0,0.9,-1.1,1.4
